N,delta_opt,bounded_subgrad,minimax_rate
2,0.5280783941941625,0.5278214039126697,0.4082482904638631
4,0.37248101912547593,0.36895115973990283,0.31622776601683794
6,0.30505462491402446,0.3014716301722239,0.2672612419124244
8,0.26302837826593056,0.2615740359995039,0.23570226039551587
10,0.23839784205155823,0.2343564502751046,0.21320071635561041
12,0.21839725989301756,0.21423505766754358,0.19611613513818404
14,0.20384718732636647,0.19856718589430405,0.18257418583505536
16,0.195043090727222,0.18591403028218523,0.17149858514250882
18,0.0,0.17541574108474606,0.16222142113076254
20,0.0,0.1665208169248241,0.1543033499620919
22,0.0,0.1588579687187615,0.14744195615489714
24,0.0,0.15216620864031033,0.1414213562373095
26,0.0,0.1462560603836161,0.13608276348795434
28,0.0,0.1409861989530882,0.13130643285972254
30,0.0,0.13624857629753595,0.1270001270001905
32,0.0,0.1319588112750648,0.12309149097933272
34,0.0,0.12805113302492946,0.11952286093343936
36,0.0,0.1244710024986351,0.11624763874381928
38,0.0,0.12117618702505555,0.11322770341445956
40,0.0,0.11812953353565073,0.11043152607484653
42,0.0,0.1153018200680053,0.10783277320343841
44,0.0,0.11266876200759872,0.10540925533894598
46,0.0,0.11020767481195713,0.10314212462587934
48,0.0,0.10790123312572965,0.10101525445522107
50,0.0,0.10573413353376077,0.09901475429766744
